method,recognizer,identity_id,image_path,correct,ssim,psnr
pgd_targeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/arcface/Justine_Pasek_0001.png,1,0.890682,33.5916
pgd_targeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/arcface/Justine_Pasek_0003.png,1,0.918551,33.8750
pgd_targeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/arcface/Justine_Pasek_0005.png,1,0.916983,33.5923
pgd_targeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/arcface/Justine_Pasek_0006.png,1,0.917379,33.7440
pgd_targeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/arcface/Justine_Pasek_0007.png,1,0.919160,33.6479
pgd_targeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/arcface/Allyson_Felix_0001.png,1,0.891532,33.5861
pgd_targeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/arcface/Allyson_Felix_0002.png,1,0.877518,33.5671
pgd_targeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/arcface/Allyson_Felix_0003.png,1,0.897014,33.5666
pgd_targeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/arcface/Allyson_Felix_0004.png,1,0.880739,33.5750
pgd_targeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/arcface/Allyson_Felix_0005.png,1,0.893508,33.8668
pgd_targeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/arcface/Hitomi_Soga_0001.png,1,0.865641,33.8496
pgd_targeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/arcface/Hitomi_Soga_0002.png,1,0.896078,33.7224
pgd_targeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/arcface/Hitomi_Soga_0003.png,1,0.895226,33.8543
pgd_targeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/arcface/Hitomi_Soga_0004.png,1,0.871442,33.7658
pgd_targeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/arcface/Hitomi_Soga_0005.png,1,0.875459,33.7745
pgd_targeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/arcface/Mariah_Carey_0001.png,1,0.922082,33.8094
pgd_targeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/arcface/Mariah_Carey_0002.png,1,0.902730,33.7239
pgd_targeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/arcface/Mariah_Carey_0003.png,1,0.910373,33.7225
pgd_targeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/arcface/Mariah_Carey_0005.png,1,0.928890,33.4738
pgd_targeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/arcface/Mariah_Carey_0006.png,1,0.898984,33.7446
pgd_targeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/arcface/Marco_Antonio_Barrera_0001.png,1,0.890846,33.7335
pgd_targeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/arcface/Marco_Antonio_Barrera_0002.png,1,0.925029,33.5399
pgd_targeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/arcface/Marco_Antonio_Barrera_0003.png,1,0.933344,33.4698
pgd_targeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/arcface/Marco_Antonio_Barrera_0004.png,1,0.907919,33.6949
pgd_targeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/arcface/Marco_Antonio_Barrera_0005.png,1,0.899830,33.6794
pgd_targeted,arcface,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/arcface/Vaclav_Havel_0001.png,0,0.901812,33.7398
pgd_targeted,arcface,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/arcface/Vaclav_Havel_0002.png,1,0.902159,33.6801
pgd_targeted,arcface,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/arcface/Vaclav_Havel_0003.png,1,0.888600,33.7484
pgd_targeted,arcface,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/arcface/Vaclav_Havel_0007.png,1,0.877458,33.5812
pgd_targeted,arcface,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/arcface/Vaclav_Havel_0009.png,1,0.875419,33.8479
pgd_targeted,arcface,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Simon_0004.png,1,0.907946,33.6915
pgd_targeted,arcface,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Simon_0007.png,1,0.912095,33.7868
pgd_targeted,arcface,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Simon_0011.png,1,0.901966,33.4461
pgd_targeted,arcface,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Simon_0013.png,1,0.881077,33.8275
pgd_targeted,arcface,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Simon_0015.png,1,0.896150,33.7932
pgd_targeted,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/pgd_targeted/arcface/Ahmed_Chalabi_0001.png,1,0.866309,33.6372
pgd_targeted,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/pgd_targeted/arcface/Ahmed_Chalabi_0002.png,1,0.900364,33.3878
pgd_targeted,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/pgd_targeted/arcface/Ahmed_Chalabi_0003.png,1,0.883175,33.5737
pgd_targeted,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/pgd_targeted/arcface/Ahmed_Chalabi_0004.png,1,0.909489,33.3064
pgd_targeted,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/pgd_targeted/arcface/Ahmed_Chalabi_0005.png,1,0.906614,33.3780
pgd_targeted,arcface,Monica_Seles,results/privacy/cloaked_images/pgd_targeted/arcface/Monica_Seles_0001.png,0,0.902546,34.0162
pgd_targeted,arcface,Monica_Seles,results/privacy/cloaked_images/pgd_targeted/arcface/Monica_Seles_0002.png,1,0.892170,33.6707
pgd_targeted,arcface,Monica_Seles,results/privacy/cloaked_images/pgd_targeted/arcface/Monica_Seles_0004.png,1,0.917198,33.4134
pgd_targeted,arcface,Monica_Seles,results/privacy/cloaked_images/pgd_targeted/arcface/Monica_Seles_0005.png,1,0.901682,33.7346
pgd_targeted,arcface,Monica_Seles,results/privacy/cloaked_images/pgd_targeted/arcface/Monica_Seles_0006.png,1,0.913488,33.7152
pgd_targeted,arcface,David_Wells,results/privacy/cloaked_images/pgd_targeted/arcface/David_Wells_0001.png,1,0.890623,33.8758
pgd_targeted,arcface,David_Wells,results/privacy/cloaked_images/pgd_targeted/arcface/David_Wells_0002.png,1,0.872898,33.6640
pgd_targeted,arcface,David_Wells,results/privacy/cloaked_images/pgd_targeted/arcface/David_Wells_0003.png,1,0.880688,33.9980
pgd_targeted,arcface,David_Wells,results/privacy/cloaked_images/pgd_targeted/arcface/David_Wells_0005.png,1,0.875360,33.8069
pgd_targeted,arcface,David_Wells,results/privacy/cloaked_images/pgd_targeted/arcface/David_Wells_0007.png,1,0.888523,33.9556
pgd_targeted,arcface,Vincent_Brooks,results/privacy/cloaked_images/pgd_targeted/arcface/Vincent_Brooks_0002.png,1,0.907901,33.4937
pgd_targeted,arcface,Vincent_Brooks,results/privacy/cloaked_images/pgd_targeted/arcface/Vincent_Brooks_0003.png,1,0.935827,33.5346
pgd_targeted,arcface,Vincent_Brooks,results/privacy/cloaked_images/pgd_targeted/arcface/Vincent_Brooks_0004.png,1,0.924887,33.5516
pgd_targeted,arcface,Vincent_Brooks,results/privacy/cloaked_images/pgd_targeted/arcface/Vincent_Brooks_0006.png,1,0.921849,33.7132
pgd_targeted,arcface,Vincent_Brooks,results/privacy/cloaked_images/pgd_targeted/arcface/Vincent_Brooks_0007.png,1,0.925045,33.5903
pgd_targeted,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/pgd_targeted/arcface/Ricardo_Sanchez_0001.png,1,0.917336,33.5744
pgd_targeted,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/pgd_targeted/arcface/Ricardo_Sanchez_0002.png,1,0.905970,33.6816
pgd_targeted,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/pgd_targeted/arcface/Ricardo_Sanchez_0003.png,1,0.902942,33.6113
pgd_targeted,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/pgd_targeted/arcface/Ricardo_Sanchez_0004.png,1,0.911178,33.6536
pgd_targeted,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/pgd_targeted/arcface/Ricardo_Sanchez_0005.png,1,0.912054,33.7887
pgd_targeted,arcface,Edmund_Stoiber,results/privacy/cloaked_images/pgd_targeted/arcface/Edmund_Stoiber_0001.png,1,0.869960,33.5960
pgd_targeted,arcface,Edmund_Stoiber,results/privacy/cloaked_images/pgd_targeted/arcface/Edmund_Stoiber_0002.png,1,0.895583,33.5696
pgd_targeted,arcface,Edmund_Stoiber,results/privacy/cloaked_images/pgd_targeted/arcface/Edmund_Stoiber_0006.png,0,0.889667,33.7260
pgd_targeted,arcface,Edmund_Stoiber,results/privacy/cloaked_images/pgd_targeted/arcface/Edmund_Stoiber_0009.png,1,0.892813,33.6112
pgd_targeted,arcface,Edmund_Stoiber,results/privacy/cloaked_images/pgd_targeted/arcface/Edmund_Stoiber_0011.png,1,0.898495,33.7582
pgd_targeted,arcface,Madonna,results/privacy/cloaked_images/pgd_targeted/arcface/Madonna_0001.png,1,0.906218,33.6325
pgd_targeted,arcface,Madonna,results/privacy/cloaked_images/pgd_targeted/arcface/Madonna_0002.png,0,0.865930,33.7556
pgd_targeted,arcface,Madonna,results/privacy/cloaked_images/pgd_targeted/arcface/Madonna_0003.png,1,0.884014,33.5601
pgd_targeted,arcface,Madonna,results/privacy/cloaked_images/pgd_targeted/arcface/Madonna_0004.png,0,0.910072,33.8695
pgd_targeted,arcface,Madonna,results/privacy/cloaked_images/pgd_targeted/arcface/Madonna_0005.png,0,0.898839,33.5280
pgd_targeted,arcface,Jelena_Dokic,results/privacy/cloaked_images/pgd_targeted/arcface/Jelena_Dokic_0002.png,1,0.885317,33.5483
pgd_targeted,arcface,Jelena_Dokic,results/privacy/cloaked_images/pgd_targeted/arcface/Jelena_Dokic_0003.png,1,0.854345,33.7573
pgd_targeted,arcface,Jelena_Dokic,results/privacy/cloaked_images/pgd_targeted/arcface/Jelena_Dokic_0004.png,0,0.864150,34.0304
pgd_targeted,arcface,Jelena_Dokic,results/privacy/cloaked_images/pgd_targeted/arcface/Jelena_Dokic_0005.png,1,0.870058,33.7492
pgd_targeted,arcface,Jelena_Dokic,results/privacy/cloaked_images/pgd_targeted/arcface/Jelena_Dokic_0007.png,1,0.891118,33.7402
pgd_targeted,arcface,Paula_Radcliffe,results/privacy/cloaked_images/pgd_targeted/arcface/Paula_Radcliffe_0001.png,1,0.884976,33.6630
pgd_targeted,arcface,Paula_Radcliffe,results/privacy/cloaked_images/pgd_targeted/arcface/Paula_Radcliffe_0002.png,1,0.876769,33.6699
pgd_targeted,arcface,Paula_Radcliffe,results/privacy/cloaked_images/pgd_targeted/arcface/Paula_Radcliffe_0004.png,1,0.885564,33.8652
pgd_targeted,arcface,Paula_Radcliffe,results/privacy/cloaked_images/pgd_targeted/arcface/Paula_Radcliffe_0005.png,1,0.888280,33.7510
pgd_targeted,arcface,Paula_Radcliffe,results/privacy/cloaked_images/pgd_targeted/arcface/Paula_Radcliffe_0006.png,1,0.898927,33.7780
pgd_targeted,arcface,Enrique_Bolanos,results/privacy/cloaked_images/pgd_targeted/arcface/Enrique_Bolanos_0001.png,0,0.850737,33.7772
pgd_targeted,arcface,Enrique_Bolanos,results/privacy/cloaked_images/pgd_targeted/arcface/Enrique_Bolanos_0002.png,1,0.856320,33.8467
pgd_targeted,arcface,Enrique_Bolanos,results/privacy/cloaked_images/pgd_targeted/arcface/Enrique_Bolanos_0003.png,1,0.871354,33.7627
pgd_targeted,arcface,Enrique_Bolanos,results/privacy/cloaked_images/pgd_targeted/arcface/Enrique_Bolanos_0004.png,1,0.889584,33.9102
pgd_targeted,arcface,Enrique_Bolanos,results/privacy/cloaked_images/pgd_targeted/arcface/Enrique_Bolanos_0005.png,0,0.884381,33.8776
pgd_targeted,arcface,Binyamin_Ben-Eliezer,results/privacy/cloaked_images/pgd_targeted/arcface/Binyamin_Ben-Eliezer_0002.png,1,0.890125,33.7594
pgd_targeted,arcface,Binyamin_Ben-Eliezer,results/privacy/cloaked_images/pgd_targeted/arcface/Binyamin_Ben-Eliezer_0003.png,1,0.907744,33.4643
pgd_targeted,arcface,Binyamin_Ben-Eliezer,results/privacy/cloaked_images/pgd_targeted/arcface/Binyamin_Ben-Eliezer_0005.png,1,0.888276,33.6815
pgd_targeted,arcface,Binyamin_Ben-Eliezer,results/privacy/cloaked_images/pgd_targeted/arcface/Binyamin_Ben-Eliezer_0006.png,1,0.891725,33.6417
pgd_targeted,arcface,Binyamin_Ben-Eliezer,results/privacy/cloaked_images/pgd_targeted/arcface/Binyamin_Ben-Eliezer_0007.png,1,0.875171,33.7541
pgd_targeted,arcface,Gregg_Popovich,results/privacy/cloaked_images/pgd_targeted/arcface/Gregg_Popovich_0001.png,1,0.873621,33.9066
pgd_targeted,arcface,Gregg_Popovich,results/privacy/cloaked_images/pgd_targeted/arcface/Gregg_Popovich_0002.png,0,0.887880,33.6749
pgd_targeted,arcface,Gregg_Popovich,results/privacy/cloaked_images/pgd_targeted/arcface/Gregg_Popovich_0003.png,1,0.883771,33.6341
pgd_targeted,arcface,Gregg_Popovich,results/privacy/cloaked_images/pgd_targeted/arcface/Gregg_Popovich_0004.png,1,0.887018,33.8122
pgd_targeted,arcface,Gregg_Popovich,results/privacy/cloaked_images/pgd_targeted/arcface/Gregg_Popovich_0005.png,1,0.908602,33.8183
pgd_targeted,arcface,Holly_Hunter,results/privacy/cloaked_images/pgd_targeted/arcface/Holly_Hunter_0003.png,1,0.887075,33.4507
pgd_targeted,arcface,Holly_Hunter,results/privacy/cloaked_images/pgd_targeted/arcface/Holly_Hunter_0004.png,0,0.897251,34.0113
pgd_targeted,arcface,Holly_Hunter,results/privacy/cloaked_images/pgd_targeted/arcface/Holly_Hunter_0005.png,0,0.874183,33.8979
pgd_targeted,arcface,Holly_Hunter,results/privacy/cloaked_images/pgd_targeted/arcface/Holly_Hunter_0006.png,0,0.881258,33.8413
pgd_targeted,arcface,Holly_Hunter,results/privacy/cloaked_images/pgd_targeted/arcface/Holly_Hunter_0007.png,0,0.900978,34.0150
pgd_targeted,arcface,Xanana_Gusmao,results/privacy/cloaked_images/pgd_targeted/arcface/Xanana_Gusmao_0001.png,1,0.906501,33.4817
pgd_targeted,arcface,Xanana_Gusmao,results/privacy/cloaked_images/pgd_targeted/arcface/Xanana_Gusmao_0002.png,0,0.876817,33.9634
pgd_targeted,arcface,Xanana_Gusmao,results/privacy/cloaked_images/pgd_targeted/arcface/Xanana_Gusmao_0003.png,1,0.903346,33.5720
pgd_targeted,arcface,Xanana_Gusmao,results/privacy/cloaked_images/pgd_targeted/arcface/Xanana_Gusmao_0004.png,1,0.913126,33.3816
pgd_targeted,arcface,Xanana_Gusmao,results/privacy/cloaked_images/pgd_targeted/arcface/Xanana_Gusmao_0005.png,0,0.876719,33.8738
pgd_targeted,arcface,Luis_Gonzalez_Macchi,results/privacy/cloaked_images/pgd_targeted/arcface/Luis_Gonzalez_Macchi_0001.png,1,0.862747,33.5484
pgd_targeted,arcface,Luis_Gonzalez_Macchi,results/privacy/cloaked_images/pgd_targeted/arcface/Luis_Gonzalez_Macchi_0002.png,1,0.854526,33.7232
pgd_targeted,arcface,Luis_Gonzalez_Macchi,results/privacy/cloaked_images/pgd_targeted/arcface/Luis_Gonzalez_Macchi_0003.png,1,0.879131,33.4030
pgd_targeted,arcface,Luis_Gonzalez_Macchi,results/privacy/cloaked_images/pgd_targeted/arcface/Luis_Gonzalez_Macchi_0004.png,1,0.897312,33.4335
pgd_targeted,arcface,Luis_Gonzalez_Macchi,results/privacy/cloaked_images/pgd_targeted/arcface/Luis_Gonzalez_Macchi_0005.png,1,0.881430,33.4393
pgd_targeted,arcface,Scott_Peterson,results/privacy/cloaked_images/pgd_targeted/arcface/Scott_Peterson_0001.png,1,0.876533,33.6923
pgd_targeted,arcface,Scott_Peterson,results/privacy/cloaked_images/pgd_targeted/arcface/Scott_Peterson_0002.png,0,0.897677,33.7639
pgd_targeted,arcface,Scott_Peterson,results/privacy/cloaked_images/pgd_targeted/arcface/Scott_Peterson_0003.png,1,0.905020,33.4366
pgd_targeted,arcface,Scott_Peterson,results/privacy/cloaked_images/pgd_targeted/arcface/Scott_Peterson_0004.png,1,0.913837,33.4440
pgd_targeted,arcface,Scott_Peterson,results/privacy/cloaked_images/pgd_targeted/arcface/Scott_Peterson_0005.png,1,0.891904,33.8593
pgd_targeted,arcface,Carla_Del_Ponte,results/privacy/cloaked_images/pgd_targeted/arcface/Carla_Del_Ponte_0001.png,0,0.906520,33.7429
pgd_targeted,arcface,Carla_Del_Ponte,results/privacy/cloaked_images/pgd_targeted/arcface/Carla_Del_Ponte_0002.png,1,0.904256,33.7702
pgd_targeted,arcface,Carla_Del_Ponte,results/privacy/cloaked_images/pgd_targeted/arcface/Carla_Del_Ponte_0003.png,1,0.915227,33.5528
pgd_targeted,arcface,Carla_Del_Ponte,results/privacy/cloaked_images/pgd_targeted/arcface/Carla_Del_Ponte_0004.png,1,0.890333,33.9222
pgd_targeted,arcface,Carla_Del_Ponte,results/privacy/cloaked_images/pgd_targeted/arcface/Carla_Del_Ponte_0005.png,1,0.900279,33.8867
pgd_targeted,arcface,Martina_McBride,results/privacy/cloaked_images/pgd_targeted/arcface/Martina_McBride_0001.png,1,0.890894,33.6882
pgd_targeted,arcface,Martina_McBride,results/privacy/cloaked_images/pgd_targeted/arcface/Martina_McBride_0002.png,1,0.896016,33.5372
pgd_targeted,arcface,Martina_McBride,results/privacy/cloaked_images/pgd_targeted/arcface/Martina_McBride_0003.png,1,0.935182,33.5474
pgd_targeted,arcface,Martina_McBride,results/privacy/cloaked_images/pgd_targeted/arcface/Martina_McBride_0004.png,1,0.905269,33.6460
pgd_targeted,arcface,Martina_McBride,results/privacy/cloaked_images/pgd_targeted/arcface/Martina_McBride_0005.png,1,0.918534,33.7285
pgd_targeted,arcface,Roman_Polanski,results/privacy/cloaked_images/pgd_targeted/arcface/Roman_Polanski_0001.png,1,0.880808,33.7348
pgd_targeted,arcface,Roman_Polanski,results/privacy/cloaked_images/pgd_targeted/arcface/Roman_Polanski_0002.png,1,0.873599,33.5892
pgd_targeted,arcface,Roman_Polanski,results/privacy/cloaked_images/pgd_targeted/arcface/Roman_Polanski_0003.png,1,0.890228,33.9975
pgd_targeted,arcface,Roman_Polanski,results/privacy/cloaked_images/pgd_targeted/arcface/Roman_Polanski_0005.png,1,0.865587,33.8258
pgd_targeted,arcface,Roman_Polanski,results/privacy/cloaked_images/pgd_targeted/arcface/Roman_Polanski_0006.png,1,0.867420,33.8240
pgd_targeted,arcface,Igor_Ivanov,results/privacy/cloaked_images/pgd_targeted/arcface/Igor_Ivanov_0003.png,1,0.896796,33.6622
pgd_targeted,arcface,Igor_Ivanov,results/privacy/cloaked_images/pgd_targeted/arcface/Igor_Ivanov_0007.png,1,0.857403,34.0773
pgd_targeted,arcface,Igor_Ivanov,results/privacy/cloaked_images/pgd_targeted/arcface/Igor_Ivanov_0008.png,1,0.862653,33.8357
pgd_targeted,arcface,Igor_Ivanov,results/privacy/cloaked_images/pgd_targeted/arcface/Igor_Ivanov_0010.png,1,0.856582,33.8206
pgd_targeted,arcface,Igor_Ivanov,results/privacy/cloaked_images/pgd_targeted/arcface/Igor_Ivanov_0019.png,1,0.869687,33.6635
pgd_targeted,arcface,Michael_Chang,results/privacy/cloaked_images/pgd_targeted/arcface/Michael_Chang_0001.png,1,0.889010,33.7134
pgd_targeted,arcface,Michael_Chang,results/privacy/cloaked_images/pgd_targeted/arcface/Michael_Chang_0002.png,1,0.884856,33.5021
pgd_targeted,arcface,Michael_Chang,results/privacy/cloaked_images/pgd_targeted/arcface/Michael_Chang_0003.png,1,0.892446,33.7440
pgd_targeted,arcface,Michael_Chang,results/privacy/cloaked_images/pgd_targeted/arcface/Michael_Chang_0004.png,1,0.881853,33.8128
pgd_targeted,arcface,Michael_Chang,results/privacy/cloaked_images/pgd_targeted/arcface/Michael_Chang_0007.png,1,0.883046,33.7707
pgd_targeted,arcface,William_Donaldson,results/privacy/cloaked_images/pgd_targeted/arcface/William_Donaldson_0001.png,1,0.878090,33.8187
pgd_targeted,arcface,William_Donaldson,results/privacy/cloaked_images/pgd_targeted/arcface/William_Donaldson_0003.png,1,0.882024,33.5379
pgd_targeted,arcface,William_Donaldson,results/privacy/cloaked_images/pgd_targeted/arcface/William_Donaldson_0004.png,1,0.891667,33.6582
pgd_targeted,arcface,William_Donaldson,results/privacy/cloaked_images/pgd_targeted/arcface/William_Donaldson_0005.png,1,0.872676,33.6804
pgd_targeted,arcface,William_Donaldson,results/privacy/cloaked_images/pgd_targeted/arcface/William_Donaldson_0007.png,1,0.889092,33.6445
pgd_targeted,arcface,Jose_Manuel_Durao_Barroso,results/privacy/cloaked_images/pgd_targeted/arcface/Jose_Manuel_Durao_Barroso_0002.png,1,0.888304,33.6461
pgd_targeted,arcface,Jose_Manuel_Durao_Barroso,results/privacy/cloaked_images/pgd_targeted/arcface/Jose_Manuel_Durao_Barroso_0003.png,1,0.877299,33.8361
pgd_targeted,arcface,Jose_Manuel_Durao_Barroso,results/privacy/cloaked_images/pgd_targeted/arcface/Jose_Manuel_Durao_Barroso_0004.png,1,0.902507,33.6172
pgd_targeted,arcface,Jose_Manuel_Durao_Barroso,results/privacy/cloaked_images/pgd_targeted/arcface/Jose_Manuel_Durao_Barroso_0005.png,1,0.904965,33.7054
pgd_targeted,arcface,Jose_Manuel_Durao_Barroso,results/privacy/cloaked_images/pgd_targeted/arcface/Jose_Manuel_Durao_Barroso_0006.png,0,0.873519,33.8606
pgd_targeted,arcface,Bill_Graham,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Graham_0001.png,1,0.901649,33.6051
pgd_targeted,arcface,Bill_Graham,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Graham_0003.png,1,0.906414,33.7017
pgd_targeted,arcface,Bill_Graham,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Graham_0004.png,1,0.908927,33.7547
pgd_targeted,arcface,Bill_Graham,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Graham_0006.png,1,0.896332,33.5378
pgd_targeted,arcface,Bill_Graham,results/privacy/cloaked_images/pgd_targeted/arcface/Bill_Graham_0007.png,1,0.886966,33.3996
pgd_targeted,arcface,Lance_Armstrong,results/privacy/cloaked_images/pgd_targeted/arcface/Lance_Armstrong_0003.png,1,0.883174,33.8286
pgd_targeted,arcface,Lance_Armstrong,results/privacy/cloaked_images/pgd_targeted/arcface/Lance_Armstrong_0004.png,0,0.891501,33.5010
